id,nome,cidade,lat,lon,capacidade_total,custo_fixo_mensal,cap_P01,cap_P02,cap_P03,cap_P04,cap_P05,cap_P06,cap_P07,cap_P08
CD_001,CD Brasília 1,Brasília,-15.8363,-47.8467,9830,46138,1221,1059,1646,995,1055,1579,1050,1049
CD_002,CD São Paulo 2,São Paulo,-23.5369,-46.6305,18351,81375,1993,2888,2362,2326,3238,3116,1613,1918
CD_003,CD São Paulo 3,São Paulo,-23.6554,-46.6016,9755,44947,1120,1445,1003,803,1459,1108,1114,1049
CD_004,CD São Paulo 4,São Paulo,-23.4872,-46.5978,19884,92265,1992,2595,2754,2426,2392,3467,1686,2239
CD_005,CD Rio de Janeiro 5,Rio de Janeiro,-22.8625,-43.152,6086,21815,491,682,734,1009,495,922,764,845
CD_006,CD São Paulo 6,São Paulo,-23.5535,-46.6463,15447,78840,2109,1638,1909,1444,2321,1391,1667,1573
CD_007,CD São Paulo 7,São Paulo,-23.5493,-46.6117,19058,74210,3369,2601,1692,2706,1922,2244,1920,2066
CD_008,CD Belo Horizonte 8,Belo Horizonte,-19.9332,-43.9605,10053,45348,1052,1292,933,1189,1590,1044,1653,1421
CD_009,CD Belo Horizonte 9,Belo Horizonte,-19.9266,-43.9252,13295,60084,1907,2127,1231,1353,2303,1811,1334,1627
CD_010,CD Curitiba 10,Curitiba,-25.3843,-49.2415,14499,54526,1246,1535,1696,1976,2474,1494,1376,1354
CD_011,CD São Paulo 11,São Paulo,-23.4741,-46.715,14501,57137,1364,2291,1169,2122,1613,1678,1487,1975
CD_012,CD Vitória 12,Vitória,-20.2873,-40.3193,5636,29072,999,923,804,952,500,573,962,552
